site_id,name,latitude,longitude,operator,n_refill_points,max_power_kw,connector_types,type_of_site
2024006760,HYC23BZ0198A-,42.852737,-2.710092,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
2024006759,HYC23BZ0195A-,42.80685,-1.67679,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
2024006758,HYC23BZ0196A-,42.80685,-1.67679,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
2024006757,C8A233S023ECUKCMDS,28.11217,-15.45012,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,180.0,chademo|iec62196T2COMBO,other
2024006756,HYC22BZ2912A-,40.45885,0.407149,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,100.0,iec62196T2COMBO,other
2024006755,HYC22BZ3243A-,40.458855,0.407149,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,100.0,iec62196T2COMBO,other
2024006754,HYC23BZ0201A-,42.852737,-2.710092,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
2024006753,HYC22BZ1813A-,41.70074,2.839628,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,chademo|iec62196T2COMBO,other
2024006752,HYC22BZ1869A-,41.70074,2.839628,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,chademo|iec62196T2COMBO,other
2024006751,C8A233S023PZWYUJWE,37.13007,-5.4544,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,200.0,chademo|iec62196T2COMBO,other
2024006750,HYC23BZ0031B-,41.2708,1.98106,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,300.0,chademo|iec62196T2COMBO,other
2024006749,HYC22BZ3242A-,40.93761,-4.110855,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
2024006748,HYC22BZ0341A-,40.37865,-3.614332,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
2024006747,C8A233S023SZNGRBAD,36.6865,-6.11807,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,200.0,iec62196T2COMBO,other
2024006746,C8A233S023LDBWXELN,36.62265,-6.36276,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
2024006745,HYC23BZ0033B-,28.10544,-15.440838,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,300.0,chademo|iec62196T2COMBO,other
2024006744,HYC22BZ3237A-,28.2152,-14.02186,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
2024006743,C8A233S023JMUFULDH-,41.622257,-4.77187,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,200.0,iec62196T2COMBO,other
2024006742,HYC22BZ0339A-,40.3786,-3.6143,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
2024001947,EHYC22BZ3233A,43.36564,-8.418917,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
2024001946,EHYC22BZ2911A,39.581722,2.678806,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,onstreet
2024001945,EHYC23BZ0216A,42.820545,-1.655826,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,onstreet
2024001944,EHYC23BZ0214A,42.82052,-1.655796,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,onstreet
2023004163,HYC23BZ0443A-,40.64373,-4.038636,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,50.0,chademo|iec62196T2|iec62196T2COMBO,onstreet
2023004162,HYC23BZ0213A-,40.067764,-2.13503,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,onstreet
2023004161,HYC22BZ3539A-,41.405895,2.2013867,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,onstreet
2023004160,HYC22BZ1817A-,40.32005,-3.87555,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,onstreet
2023004159,HYC23BZ0447A-,40.642387,-4.039017,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,200.0,chademo|iec62196T2|iec62196T2COMBO,onstreet
2023002451,HYC22BZ1873A-,39.872612,-4.040235,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",2,100.0,iec62196T2COMBO,other
2023002450,HYC22BZ2821A-,43.467102,-3.834137,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",2,150.0,iec62196T2COMBO,onstreet
2023002449,HYC22BZ2902A-,38.534702,-0.169479,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",2,150.0,iec62196T2COMBO,onstreet
2025000101,L-Vinaixa-001,41.429195,0.971549,IBERDROLA CLIENTES S.A.U,6,120.0,iec62196T2|iec62196T2COMBO,onstreet
2025000103,E-V-Alfafar-002,39.421402,-0.385786,IBERDROLA CLIENTES S.A.U,4,22.0,iec62196T2,openSpace
2025000059,CONSUM DENIA LAS ROTAS,38.83125,0.111663,REMO SUSTAINABLE MOBILITY S.L,2,60.0,iec62196T2|iec62196T2COMBO,openSpace
2025000066,RTVE_Zaragoza,41.669804,-0.904143,WENEA EMOBILITY SERVICES S.L.,2,22.0,iec62196T2,onstreet
2025000067,Genaro Parladé. Sevilla,37.367355,-5.979251,WENEA EMOBILITY SERVICES S.L.,2,22.0,iec62196T2,onstreet
2025000068,Juan Pablos. Sevilla,37.370777,-5.982651,WENEA EMOBILITY SERVICES S.L.,2,22.0,iec62196T2,onstreet
2025000071,Madrid Activa 3,40.51829,-3.342658,WENEA EMOBILITY SERVICES S.L.,6,100.0,iec62196T2|iec62196T2COMBO,onstreet
2025000072,Cárcel de la Ranilla. Sevilla,37.38654,-5.962197,WENEA EMOBILITY SERVICES S.L.,2,22.0,iec62196T2,onstreet
2025000073,Parking Tomás y Valiente Juzgados - Parkia,41.53277,2.439787,WENEA EMOBILITY SERVICES S.L.,4,22.0,iec62196T2,onstreet
