Carretera,Tipo_de_via,n_segments,total_length_m,mean_segment_length_m,mean_nearest_station_m,max_nearest_station_m,n_gaps,gap_ratio,n_stations,total_refill_points,mean_max_power_kw,max_max_power_kw,mean_lat,mean_lon,n_operators,has_chademo,has_ccs,nearest_grid_dist_deg,grid_capacity_occupied_mw,grid_capacity_pending_mw,max_voltage_kv,comunidad_autonoma,provincia,ev_fleet_2027,ev_registrations_2026,ev_registrations_2027,ev_growth_rate,road_type_rank,stations_per_100km,refill_points_per_100km,needs_more_stations
AP-1,Autopista libre\Autovía,1,75634.89827440442,75634.89827440442,3212.9451529861158,3212.9451529861158,0,0.0,12,31,112.61333333333334,350.0,42.52387541666667,-3.322779666666667,5,True,True,1.1601072278702589,7.19,0.0,45.0,07 - C.León,Soria,327883,76108,88118,1.1578020707415777,4,15.86569199374585,40.98637098384345,0
AP-1,Autopista peaje,4,52654.19448777991,13163.548621944978,2465.1847599128964,5973.58631145295,0,0.0,9,26,55.79666666666667,120.0,43.03878777777778,-2.516250588888889,3,True,True,1.1088545013047473,1.61,0.0,30.0,07 - C.León,Soria,327883,76108,88118,1.1578020707415777,3,17.092655366874403,49.378782170970496,0
AP-15,Autopista peaje,4,99384.13363072573,24846.033407681432,2843.2783938540265,8142.380963870881,0,0.0,10,25,136.2,350.0,42.5869586,-1.6603636000000002,5,True,True,0.5015656292283907,5.3,0.0,66.0,02 - Aragón,Zaragoza,327883,76108,88118,1.1578020707415777,3,10.061968278715653,25.154920696789137,0
AP-15-R,Autopista peaje,1,6522.924346097197,6522.924346097197,1382.918330836845,1382.918330836845,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,3,0.0,0.0,1
AP-2,Autopista libre\Autovía,3,215161.49881373788,71720.4996045793,10398.131604286255,21396.47271692424,0,0.0,2,4,41.0,60.0,41.424217,0.940793,1,False,True,0.1548694246909155,68.82,0.02,25.0,09 - Catalunya,Lleida,327883,76108,88118,1.1578020707415777,4,0.9295343316656156,1.8590686633312312,1
AP-36,Autopista libre\Autovía,1,24843.191587895573,24843.191587895573,2713.309860376698,2713.309860376698,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,4,0.0,0.0,1
AP-36,Autopista peaje,1,122543.7080464406,122543.7080464406,21241.61557958999,21241.61557958999,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,3,0.0,0.0,1
AP-4,Autopista libre\Autovía,4,92368.63615173938,23092.159037934845,2769.9510314458425,6365.435088318549,0,0.0,6,22,87.02833333333332,150.0,36.87393866666667,-6.013780833333333,6,True,True,0.03343362738098225,12.78,0.0,66.0,01 - Andalucía,Sevilla,327883,76108,88118,1.1578020707415777,4,6.495711369109584,23.817608353401805,0
AP-41,Autopista peaje,1,48450.25246857672,48450.25246857672,2964.1704068569647,2964.1704068569647,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,3,0.0,0.0,1
AP-46,Autopista peaje,1,22973.80463918072,22973.80463918072,5373.262336339217,5373.262336339217,0,0.0,2,2,50.0,50.0,36.9176815,-4.439866,1,True,True,0.02466120391911642,11.54,0.0,132.0,01 - Andalucía,Málaga,327883,76108,88118,1.1578020707415777,3,8.705567194512904,8.705567194512904,0
AP-4A,Autopista libre\Autovía,1,2939.207687405256,2939.207687405256,6060.03253353208,6060.03253353208,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,4,0.0,0.0,1
AP-51,Autopista peaje,1,23407.11377912612,23407.11377912612,10062.73029359352,10062.73029359352,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,3,0.0,0.0,1
AP-53,Autopista peaje,1,56670.404598192974,56670.404598192974,340.347124147112,340.347124147112,0,0.0,1,2,180.0,180.0,42.716457,-8.301238,1,False,True,0.8417992897387497,28.28,0.0,132.0,12 - Galicia,A Coruña,327883,76108,88118,1.1578020707415777,3,1.7645894838588936,3.529178967717787,0
AP-6,Autopista peaje,4,69857.88031393258,17464.470078483144,6057.099507163621,13363.953706499316,0,0.0,10,38,87.817,200.0,40.6635388,-4.0946793999999995,5,True,True,1.2328957021557552,74.26,0.0,15.0,04 - Illes Balears,Illes Balears,327883,76108,88118,1.1578020707415777,3,14.314777309390509,54.396153775683935,0
AP-61,Autopista peaje,1,27222.23034323016,27222.23034323016,6772.682222047365,6772.682222047365,0,0.0,3,5,84.0,180.0,40.92454333333333,-4.111892733333334,3,True,True,1.4800052929880205,74.26,0.0,15.0,04 - Illes Balears,Illes Balears,327883,76108,88118,1.1578020707415777,3,11.020404875627921,18.36734145937987,0
AP-66,Autopista peaje,1,78354.43589112167,78354.43589112167,5565.971058715937,5565.971058715937,0,0.0,3,6,66.66666666666667,100.0,42.72224133333333,-5.774034333333333,2,True,True,0.7408771054865512,0.0,0.0,132.0,07 - C.León,León,327883,76108,88118,1.1578020707415777,3,3.828755788847342,7.657511577694684,0
AP-68,Autopista libre\Autovía,2,2962.4636006605074,1481.2318003302537,1317.7419875992837,1377.014112900109,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,4,0.0,0.0,1
AP-68,Autopista peaje,8,291088.8467859143,36386.10584823929,5809.545780864088,11267.279806579776,0,0.0,22,50,198.63636363636363,350.0,42.49791668181818,-2.2456066818181815,3,True,True,0.5347555011567076,1.61,0.0,30.0,07 - C.León,Soria,327883,76108,88118,1.1578020707415777,3,7.557829935057674,17.176886216040167,0
AP-71,Autopista peaje,1,37804.935146102034,37804.935146102034,3341.0232077471665,3341.0232077471665,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,3,0.0,0.0,1
